A_Temp1_UP_LFC	B_Temp1_UP_LFC	C_Temp1_UP_LFC	A_Temp2_UP_LFC	B_Temp2_UP_LFC	C_Temp2_UP_LFC	A_Temp1_DN_LFC	B_Temp1_DN_LFC	C_Temp1_DN_LFC	A_Temp2_DN_LFC	B_Temp2_DN_LFC	C_Temp2_DN_LFC	orf19	plate
-0.356417736485793	1.16908435549873	-1.81912558344037	2.0061765076348	-0.59432928492821	-1.58458130069041	0.067903743729687	1.7431804739614	-1.65081042995415	1.99681398642074	-0.747008506606932	-1.55441991723652	orf19.6109	GELCPlate 01
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	orf19.6096	Plate 19
1.59897311106903	3.00994464184797	1.71600034791712	2.20558088988837	2.59526368754365	2.74491506442573	NA	NA	NA	NA	NA	NA	orf19.6094	Plate 04
-0.860784199874358	-0.331156464701667	-2.10129731644482	-0.776668297063328	-1.59915513167374	-0.781490777511561	-0.720778421183949	-0.523210435277415	-1.83621880600356	-0.904452679304793	-1.33507802155094	-0.840596873780921	orf19.6091	Plate 13
-1.83653152976153	NA	NA	NA	NA	NA	-2.19294111598951	NA	NA	NA	NA	NA	orf19.6090	GELCPlate 01
-0.434216192885566	0.531973597392716	-1.62344436505945	0.635139649053432	0.120655070669581	0.454368857229746	-0.225708088561849	0.462083586650094	-1.58745696205541	0.455956226276989	0.290149053230424	0.190916282408939	orf19.6086	Plate 24
NA	NA	NA	-0.845187337751194	NA	-0.131487328283252	NA	NA	NA	-0.62243422606046	NA	0.0927614144288711	orf19.6082	Plate 08
2.82896691950491	3.77694308778469	2.53353580868008	3.21677029539564	3.64031164656768	2.8229879185814	2.77776711500447	3.6280169916073	2.82729799236828	3.16396485827195	3.83794720079333	3.03865754084683	orf19.6081	Plate 12
1.00484352180841	-0.325050339072381	-0.758648339055059	-0.640175215652102	0.203622708895599	0.0338898862085726	1.02373930455028	-0.376673366584132	-0.791234830402399	-0.499100214677479	0.157493336788256	0.0405368640925383	orf19.6072	GELCPlate 02
0.101410538806816	1.38266482421066	1.1548125579157	1.32099222193485	-0.0770797559800194	0.450706247936965	NA	NA	NA	NA	NA	NA	orf19.6071	Plate 05
0.370066594061312	0.0153873525433035	-0.225184152073121	0.424813245592475	-0.59295912603748	0.134166697390766	0.490793105381071	0.0212252217762305	0.0151739208286816	0.60843664606565	-0.492878998489729	0.151920604512398	orf19.6070	Plate 17
0.811398274840931	0.832288409384401	0.896210179427339	1.43602360185486	0.340769339649176	1.17916429000834	0.796860052560577	0.612557269257353	0.761999898603499	0.969295250778146	0.586062655577805	1.25240536016559	orf19.6068	Plate 12
-0.598843730127848	-0.0417515578837797	-0.339194389998996	-0.0580218081285064	-0.25130649518819	0.21098656626001	-0.390776365641825	-0.166072910101811	-0.454075123616526	-0.285060282326382	0.181971053320018	0.359775219224792	orf19.6066	GELCPlate 07
-0.652628408153114	1.4005840717451	0.726539804994523	0.554675673159526	0.451198428027524	1.33625577384705	-0.923056359737127	0.782982151203308	0.153050891511294	-0.265422064296612	-0.122747783617864	0.474580203369017	orf19.6064	GELCPlate 06
0.431621904075389	-0.926439565916681	-1.06349640515854	-0.264701807273267	-0.175311215580233	-0.679464491984541	0.341777894000903	-0.800190749016658	-0.941659475547171	-0.645124445333964	0.198670840704072	-0.682549425005866	orf19.6063	Plate 17
NA	NA	NA	NA	NA	NA	-0.651859145604364	-0.0374843505647018	-1.69164245889598	-0.986090297459869	-0.155925811213844	-0.322894967222778	orf19.6061	Plate 19
-0.788284664747255	-0.217223207332051	-0.757657124106416	-0.596297422022255	0.388764622859985	-0.277750177025863	-0.642564017497294	-0.555593233775431	-1.00116093199043	-0.604731792982507	0.708299612244796	-0.0506063289961904	orf19.6060	Plate 07
0.51371854382103	-0.253539292030863	0.77827093501277	-0.150568452113557	0.167582219739971	0.64315242428925	0.426714614181964	-0.616613015344969	0.899222420427389	-0.0884807007415436	0.47643466369216	0.690352327411393	orf19.6059	Plate 21
0.14323070097212	0.155944593777356	0.339850294422542	-0.0431684956207992	-1.25779140788251	0.906457574778862	NA	NA	NA	NA	NA	NA	orf19.6058	Plate 17
5.39191195120186	5.57761186672788	5.5772818226924	4.59331242802833	5.83207970675904	3.84686644871579	4.79754395235305	6.56493257002315	6.41396964581872	4.7289628220529	5.56852107819318	3.84415718090758	orf19.6057	Plate 18
-0.0534710428628902	0.301113458290656	-0.852688042273455	0.471608913319551	-0.435138326473444	-0.265874750992246	-0.208406145509981	0.0753246520440616	-0.638152612902886	0.360919252493717	-0.248367011832539	-0.418136516077581	orf19.6055	Plate 03
-0.335946073471106	0.774097686245041	-1.34992157915748	-0.18618236842585	-0.288338640231926	-0.772780450912368	NA	NA	NA	NA	NA	NA	orf19.6054	GELCPlate 02
NA	NA	NA	NA	NA	NA	3.74779039259128	3.47523956015052	2.31776295305325	3.75050220225312	3.85612780419663	2.59898670079415	orf19.6045	Plate 16
-0.463433862871332	-0.119812432657518	-0.0290749716028955	-1.18385163066166	-0.243357445014951	-0.213715586682897	-0.4316509627076	-0.296215949438285	0.232162749778857	-1.33970660105733	-0.0422198313661859	-0.0481070735770093	orf19.6043	Plate 18
7.12926171700996	9.30074560838307	7.69988218625307	7.03843122035781	7.66367876720907	5.03769653076903	5.95761214034375	9.04328720295666	7.25844813816537	6.77703025057705	8.70700591676781	6.49565814248999	orf19.6041	Plate 17
